shop_date,offer_id,dev_name,regular_price,final_price,discount_vbucks,discount_pct,is_discounted,in_date,out_date,giftable,refundable,sort_priority,layout_id,layout_name,layout_rank,layout_display_type,tile_size,offer_tag,is_bundle,bundle_name,items_in_offer,item_kind,item_id,item_name,item_type,item_rarity,item_series,item_set,item_intro_chapter,item_intro_season,item_added
2026-09-25,v2:/a55c608f836f621eb6f0227f79b927ad489814aceda6cededcd5115033042b67,[VIRTUAL]1 x Competitive Slicer for 800 MtxCurrency,800,800,0,0.0,0,2026-09-21T00:00:00Z,2026-09-25T23:59:59.999Z,1,0,-4,CyberFNCS-combined,FNCS,182,tileGrid,Size_1_x_1,,0,,1,br,Pickaxe_SkeletonHunterFNCS,Competitive Slicer,pickaxe,rare,,FNCS,4,4,2023-10-04T14:40:29Z
2026-09-25,v2:/d5ce4217ee40dde7cd2e701488b43b67798759a3de3c8986331e337fed475f9f,"[VIRTUAL]1 x Firebrand, 1 x Acrid for -1 MtxCurrency",1800,1800,0,0.0,0,2026-09-24T00:00:00Z,2026-09-26T23:59:59.999Z,1,0,-2,Boundless2026,Boundless,190,tileGrid,Size_1_x_1,Create your own hero! Over a dozen customizable components! Note: This outfit is currently disabled from competitive playlists. ,0,,2,br,CID_862_Athena_Commando_F_Elastic_C,Firebrand,outfit,legendary,,Boundless,2,4,2020-09-10T08:11:37Z
2026-09-25,v2:/d5ce4217ee40dde7cd2e701488b43b67798759a3de3c8986331e337fed475f9f,"[VIRTUAL]1 x Firebrand, 1 x Acrid for -1 MtxCurrency",1800,1800,0,0.0,0,2026-09-24T00:00:00Z,2026-09-26T23:59:59.999Z,1,0,-2,Boundless2026,Boundless,190,tileGrid,Size_1_x_1,Create your own hero! Over a dozen customizable components! Note: This outfit is currently disabled from competitive playlists. ,0,,2,br,Emoji_S14_Elastic_Flask,Acrid,emoji,uncommon,,Boundless,2,4,2020-09-10T08:11:37Z
2026-09-25,v2:/0825ee2d879ee64ce2a7e363b8b87204b69601912173517a957cc36b3e8fa6a6,[VIRTUAL]1 x Poker Face for 500 MtxCurrency,500,500,0,0.0,0,2026-09-01T00:00:00Z,2026-09-30T23:59:59.999Z,1,0,-40,JT0925261,Jam Tracks,179,expandableList,Size_1_x_1,,0,,1,track,sid_placeholder_78,Poker Face,,,,,,,2024-02-22T10:58:10Z
2026-09-25,v2:/204c0cba89da59faecc0d7eb801fc4a359745c83bd44360dee22b3da8be49b66,[VIRTUAL]1 x TBD (SID_Placeholder_906) for 500 MtxCurrency,500,500,0,0.0,0,2026-09-25T00:00:00Z,2026-10-04T23:59:59.999Z,1,0,-3,MadisonBeerNew,Madison Beer,198,tileGrid,Size_1_x_1,,0,,1,track,sid_placeholder_906,yes baby,,,,,,,2026-09-23T18:01:04Z
2026-09-25,v2:/04a29b6676b2bf02ce10634fde1919826e0a4c0263102a489cb017847e3ae61a,[VIRTUAL]1 x Toy Story Alien for 1500 MtxCurrency,1500,1500,0,0.0,0,2026-09-24T00:00:00Z,2026-09-27T23:59:59.999Z,1,0,-1,Mantoy,Disney,192,tileGrid,Size_1_x_1,This Sidekick includes quests that unlock new items upon completion!,0,,1,br,Companion_VastGeese,Toy Story Alien,sidekick,uncommon,,Toy Story,7,2,2026-04-08T17:00:32Z
2026-09-25,v2:/58426149c4844ab9b05a0c902928939fb11e78e8b822c0424571073ce9a19c85,[VIRTUAL]1 x Champion Focus for 1000 MtxCurrency,1000,1000,0,0.0,0,2026-09-23T00:00:00Z,2026-09-30T23:59:59.999Z,1,0,-3,CyberFNCS-combined,FNCS,182,tileGrid,Size_1_x_1,,0,,1,br,Character_CyberFNCS,Champion Focus,outfit,epic,,FNCS,7,4,2026-09-17T16:17:14Z
2026-09-25,v2:/9625fb393ab196cdc41e51ee239463c38884bce87e5794e0d28555f8929ca4c0,[VIRTUAL]1 x Party Diva for 1500 MtxCurrency,1500,1500,0,0.0,0,2026-09-25T00:00:00Z,2026-09-27T23:59:59.999Z,1,0,-2,BR092526,Fit Check,183,tileGrid,Size_1_x_1,<highlight_strong>Reactive Outfit:</> Patterns change when music plays!,0,,1,br,CID_819_Athena_Commando_F_NeonTightSuit_B,Party Diva,outfit,epic,,,2,3,2020-07-21T08:17:24Z
2026-09-25,v2:/10173d9f4667bea37ba53a91ac615cffdea1440a96f406fa38e2bf7dc5f324b6,[VIRTUAL]1 x Industry Baby for 500 MtxCurrency,500,500,0,0.0,0,2026-09-01T00:00:00Z,2026-09-30T23:59:59.999Z,1,0,-24,JT0925261,Jam Tracks,179,expandableList,Size_1_x_1,,0,,1,track,sid_placeholder_09,Industry Baby,,,,,,,2024-11-07T17:50:41Z
2026-09-25,v2:/c5f15bf11f2fd6f2f1083deadbe11199cbd08ed619a4f281b542bba1fd28b3c2,[VIRTUAL]1 x Seven Nation Army for 500 MtxCurrency,500,500,0,0.0,0,2026-09-01T00:00:00Z,2026-09-30T23:59:59.999Z,1,0,-2,JT0925261,Jam Tracks,179,expandableList,Size_1_x_1,,0,,1,track,sid_placeholder_36,Seven Nation Army,,,,,,,2023-12-09T15:00:00Z
